,Unnamed: 0,Unnamed: 0.1,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
0,0.0,0.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],0.78,-99.92,-4.03,-99.92,1.17,-0.77,99.92,1011.67,86380.0,40429.0,45951.0,46.8,-0.0,0.05,-0.05,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,1.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],629.97,-37.0,-4.03,-34.36,5.81,-2.59,51.59,140.9,2309.0,646.0,1663.0,27.98,-0.02,0.39,-0.17,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2.0,2.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],603.51,-39.65,-4.03,-37.11,7.24,-2.6,41.97,14.88,246.0,66.0,180.0,26.83,-0.2,0.8,-0.56,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3.0,3.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],596.73,-40.32,-4.03,-37.82,5.69,-2.64,42.31,10.59,167.0,46.0,121.0,27.54,-0.3,0.92,-0.76,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4,4.0,4.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],361.55,-63.84,-4.03,-62.33,2.39,-2.36,73.88,302.09,6625.0,2575.0,4050.0,38.87,-0.01,0.18,-0.13,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,5.0,5.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],589.57,-41.04,-4.03,-38.57,5.79,-2.59,52.32,105.78,1709.0,479.0,1230.0,28.03,-0.03,0.47,-0.22,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6,6.0,6.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],590.5,-40.95,-4.03,-38.47,7.31,-3.44,43.0,12.63,200.0,52.0,148.0,26.0,-0.25,0.89,-0.65,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7,7.0,7.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],656.66,-34.33,-4.03,-31.58,5.72,-3.35,36.51,10.28,152.0,46.0,106.0,30.26,-0.27,0.93,-0.79,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
8,8.0,8.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],863.97,-13.6,-4.03,-9.97,3.09,-5.02,34.59,69.68,1047.0,670.0,377.0,63.99,-0.01,0.29,-0.54,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,9.0,9.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],875.98,-12.4,-4.03,-8.72,6.43,-6.23,34.07,13.24,202.0,85.0,117.0,42.08,-0.05,1.05,-0.85,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
