,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1233.07,23.31,-4.03,28.48,5.75,-3.59,9.46,9.48,111.0,53.0,58.0,47.75,0.2,0.91,-0.45,1000,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1225.55,22.56,-4.03,27.7,5.9,-2.26,13.53,15.17,182.0,78.0,104.0,42.86,0.12,0.86,-0.44,1000,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
2,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1206.93,20.7,-4.03,25.76,5.89,-2.24,12.42,13.34,162.0,75.0,87.0,46.3,0.13,0.83,-0.48,1000,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1203.58,20.36,-4.03,25.41,5.87,-3.18,14.73,12.08,148.0,70.0,78.0,47.3,0.13,0.82,-0.49,1000,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
4,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1184.93,18.5,-4.03,23.47,5.68,-2.85,14.88,28.24,348.0,156.0,192.0,44.83,0.06,0.55,-0.35,1000,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1182.21,18.23,-4.03,23.19,5.84,-2.26,14.93,15.77,193.0,82.0,111.0,42.49,0.1,0.8,-0.43,1000,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
6,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1182.21,18.23,-4.03,23.19,5.84,-2.26,14.93,15.77,193.0,82.0,111.0,42.49,0.1,0.8,-0.43,1000,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1167.54,16.76,-4.03,21.66,5.53,-0.59,2.72,4.2,49.0,23.0,26.0,46.94,0.33,0.88,-0.17,1000,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1160.74,16.08,-4.03,20.95,5.33,-0.61,1.91,3.88,45.0,21.0,24.0,46.67,0.34,0.97,-0.2,1000,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
9,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1150.08,15.01,-4.03,19.84,5.68,-3.08,16.91,33.12,417.0,198.0,219.0,47.48,0.04,0.47,-0.35,1000,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
10,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1137.95,13.8,-4.03,18.57,5.94,-2.88,9.69,12.27,146.0,64.0,82.0,43.84,0.1,0.81,-0.46,1000,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
11,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1119.7,11.97,-4.03,16.67,5.66,-3.23,18.0,33.37,425.0,216.0,209.0,50.82,0.03,0.4,-0.35,1000,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
12,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1115.56,11.56,-4.03,16.24,5.66,-0.59,1.0,1.53,18.0,7.0,11.0,38.89,0.62,1.77,-0.11,1000,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
13,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1102.11,10.22,-4.03,14.84,5.65,-3.2,21.79,40.03,517.0,262.0,255.0,50.68,0.02,0.37,-0.33,1000,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
14,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],1102.11,10.22,-4.03,14.84,5.65,-3.2,21.79,40.03,517.0,262.0,255.0,50.68,0.02,0.37,-0.33,1000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
