,Unnamed: 0,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],539.71,-46.02,-49.4,6.68,19.04,-4.92,58.95,34.09,167.0,41.0,126.0,24.55,-0.32,1.91,-1.05,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2.0,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],523.16,-47.67,-49.4,3.41,0.0,-10.23,47.67,3.6,14.0,0.0,14.0,0.0,-4.43,0.0,-4.43,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3.0,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],580.33,-41.95,-49.4,14.71,0.0,-10.18,41.95,2.89,10.0,0.0,10.0,0.0,-5.21,0.0,-5.21,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4,4.0,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],472.13,-52.78,-49.4,-6.67,12.05,-5.03,55.44,85.67,418.0,149.0,269.0,35.65,-0.14,1.18,-0.88,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,5.0,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],535.37,-46.45,-49.4,5.83,18.55,-5.72,55.0,21.26,104.0,21.0,83.0,20.19,-0.54,2.96,-1.43,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6,6.0,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],651.86,-34.8,-49.4,28.85,0.0,-9.49,34.8,3.12,10.0,0.0,10.0,0.0,-4.1,0.0,-4.1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7,7.0,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],618.06,-38.18,-49.4,22.17,0.0,-9.49,38.18,2.69,9.0,0.0,9.0,0.0,-5.12,0.0,-5.12,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
8,8.0,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],600.94,-39.89,-49.4,18.79,4.2,-13.86,48.41,8.09,32.0,17.0,15.0,53.12,-1.43,2.01,-5.33,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,9.0,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],689.93,-30.99,-49.4,36.38,3.48,-18.29,33.3,2.16,7.0,2.0,5.0,28.57,-4.88,1.74,-7.52,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
