,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
3511,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1281.36,28.17,-49.4,153.29,21.05,-3.92,7.09,14.02,44.0,21.0,23.0,47.73,0.65,2.59,-1.12,1000,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
3831,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1245.83,24.61,-49.4,146.26,24.61,0.0,0.0,0.35,1.0,1.0,0.0,100.0,24.61,24.61,0.0,1000,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2214,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1245.54,24.58,-49.4,146.21,24.61,0.0,0.02,0.64,1.0,1.0,0.0,100.0,24.61,24.61,0.0,1000,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2041,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1245.54,24.58,-49.4,146.21,24.61,0.0,0.02,0.64,1.0,1.0,0.0,100.0,24.61,24.61,0.0,1000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3427,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1222.81,22.31,-49.4,141.71,20.59,-3.8,11.56,16.37,53.0,21.0,32.0,39.62,0.46,2.93,-1.16,1000,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3484,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1214.6,21.49,-49.4,140.09,19.31,-3.87,14.23,17.19,61.0,28.0,33.0,45.9,0.38,1.76,-0.79,1000,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
4661,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1184.72,18.5,-49.4,134.18,18.56,0.0,0.03,0.87,1.0,1.0,0.0,100.0,18.56,18.56,0.0,1000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4700,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1184.72,18.5,-49.4,134.18,18.56,0.0,0.03,0.87,1.0,1.0,0.0,100.0,18.56,18.56,0.0,1000,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3434,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1144.41,14.47,-49.4,126.22,20.83,-3.42,14.83,14.94,50.0,20.0,30.0,40.0,0.36,3.06,-1.43,1000,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
4026,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1131.65,13.19,-49.4,123.69,12.74,-4.45,14.91,10.21,33.0,14.0,19.0,42.42,0.46,3.16,-1.53,1000,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
