,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
372,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1125.34,12.56,-49.4,122.45,15.84,-3.28,20.01,19.25,68.0,28.0,40.0,41.18,0.23,2.0,-1.0,1000,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
302,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1087.09,8.73,-49.4,114.89,16.72,-5.19,34.43,40.06,132.0,46.0,86.0,34.85,0.13,2.81,-1.3,1000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
188,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1070.5,7.07,-49.4,111.61,7.1,0.0,0.02,0.55,1.0,1.0,0.0,100.0,7.1,7.1,0.0,1000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
215,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1070.5,7.07,-49.4,111.61,7.1,0.0,0.02,0.55,1.0,1.0,0.0,100.0,7.1,7.1,0.0,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
665,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1070.5,7.07,-49.4,111.61,7.1,0.0,0.02,0.55,1.0,1.0,0.0,100.0,7.1,7.1,0.0,1000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
175,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1070.5,7.07,-49.4,111.61,7.1,0.0,0.02,0.55,1.0,1.0,0.0,100.0,7.1,7.1,0.0,1000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
220,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1070.26,7.05,-49.4,111.56,7.1,0.0,0.05,0.78,1.0,1.0,0.0,100.0,7.1,7.1,0.0,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
670,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1070.26,7.05,-49.4,111.56,7.1,0.0,0.05,0.78,1.0,1.0,0.0,100.0,7.1,7.1,0.0,1000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
185,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1070.26,7.05,-49.4,111.56,7.1,0.0,0.05,0.78,1.0,1.0,0.0,100.0,7.1,7.1,0.0,1000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
678,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1045.91,4.61,-49.4,106.74,21.69,-4.12,25.06,20.5,78.0,38.0,40.0,48.72,0.12,1.46,-1.15,1000,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
206,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1023.8,2.4,-49.4,102.38,15.85,-3.25,26.81,23.35,89.0,38.0,51.0,42.7,0.08,1.4,-0.91,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
312,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1010.24,1.05,-49.4,99.69,16.72,-5.31,33.03,38.38,129.0,45.0,84.0,34.88,0.07,2.67,-1.32,1000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
350,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],1005.99,0.62,-49.4,98.85,15.6,-2.9,26.18,18.84,70.0,26.0,44.0,37.14,0.06,1.91,-1.03,1000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
