,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
3488,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1311.71,31.2,-49.86,161.7,23.58,-3.6,8.57,6.46,21.0,12.0,9.0,57.14,1.47,3.71,-1.51,1000,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
857,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1299.63,29.99,-49.86,159.28,40.71,-7.46,23.05,8.66,28.0,9.0,19.0,32.14,1.29,9.4,-2.55,1000,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
3318,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1293.72,29.4,-49.86,158.11,18.57,-11.4,18.8,7.71,24.0,14.0,10.0,58.33,1.28,3.96,-2.49,1000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3326,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1282.19,28.25,-49.86,155.81,21.68,-11.09,13.37,5.22,16.0,9.0,7.0,56.25,1.8,4.97,-2.26,1000,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
3323,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1257.76,25.81,-49.86,150.93,21.68,-13.1,15.25,5.51,17.0,10.0,7.0,58.82,1.6,4.5,-2.53,1000,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3328,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1254.14,25.44,-49.86,150.21,21.44,-11.09,15.11,4.85,15.0,8.0,7.0,53.33,1.77,5.43,-2.41,1000,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
3486,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1219.19,21.95,-49.86,143.24,23.52,-10.1,15.08,5.88,21.0,11.0,10.0,52.38,1.16,4.26,-2.26,1000,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
3321,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1199.82,20.01,-49.86,139.37,21.41,-11.4,18.43,6.97,22.0,12.0,10.0,54.55,1.03,3.92,-2.44,1000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
3335,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1196.47,19.67,-49.86,138.7,21.68,-13.21,17.59,5.45,17.0,9.0,8.0,52.94,1.31,4.65,-2.45,1000,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
671,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1172.96,17.32,-49.86,134.01,21.32,-12.42,13.85,6.21,21.0,14.0,7.0,66.67,0.93,2.56,-2.33,1000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
3334,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1159.15,15.94,-49.86,131.26,20.1,-12.0,28.0,7.63,23.0,11.0,12.0,47.83,0.9,5.1,-2.96,1000,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
850,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1158.97,15.92,-49.86,131.22,39.69,-9.76,26.8,8.84,29.0,10.0,19.0,34.48,0.85,7.85,-2.83,1000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
4156,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1144.62,14.49,-49.86,128.36,14.54,0.0,0.05,0.8,1.0,1.0,0.0,100.0,14.54,14.54,0.0,1000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
683,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1138.34,13.86,-49.86,127.11,21.32,-12.52,16.98,6.14,21.0,14.0,7.0,66.67,0.79,2.62,-2.86,1000,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
215,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1137.83,13.81,-49.86,127.0,13.86,0.0,0.05,0.79,1.0,1.0,0.0,100.0,13.86,13.86,0.0,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
175,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1137.83,13.81,-49.86,127.0,13.86,0.0,0.05,0.79,1.0,1.0,0.0,100.0,13.86,13.86,0.0,1000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
220,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1137.83,13.81,-49.86,127.0,13.86,0.0,0.05,0.79,1.0,1.0,0.0,100.0,13.86,13.86,0.0,1000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
185,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1137.83,13.81,-49.86,127.0,13.86,0.0,0.05,0.79,1.0,1.0,0.0,100.0,13.86,13.86,0.0,1000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
188,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1137.83,13.81,-49.86,127.0,13.86,0.0,0.05,0.79,1.0,1.0,0.0,100.0,13.86,13.86,0.0,1000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
